City,State
New York City,New York
Los Angeles,California
Chicago,Illinois
Houston,Texas
Philadelphia,Pennsylvania
Phoenix,Arizona
San Antonio,Texas
San Diego,California
Dallas,Texas
San Jose,California
Austin,Texas
Jacksonville,Florida
San Francisco,California
Indianapolis,Indiana
Columbus,Ohio
Fort Worth,Texas
Charlotte,North Carolina
Seattle,Washington
Denver,Colorado
El Paso,Texas
Detroit,Michigan
Washington,District of Columbia
Boston,Massachusetts
Memphis,Tennessee
Nashville,Tennessee
Portland,Oregon
Oklahoma City,Oklahoma
Las Vegas,Nevada
Baltimore,Maryland
Louisville,Kentucky
Milwaukee,Wisconsin
Albuquerque,New Mexico
Tucson,Arizona
Fresno,California
Sacramento,California
Kansas City,Missouri
Long Beach,California
Mesa,Arizona
Atlanta,Georgia
Colorado Springs,Colorado
Virginia Beach,Virginia
Raleigh,North Carolina
Omaha,Nebraska
Miami,Florida
Oakland,California
Minneapolis,Minnesota
Tulsa,Oklahoma
Wichita,Kansas
New Orleans,Louisiana
Arlington,Texas
Cleveland,Ohio
Bakersfield,California
Tampa,Florida
Aurora,Colorado
Honolulu,Hawai'i
Anaheim,California
Santa Ana,California
Corpus Christi,Texas
Riverside,California
St. Louis,Missouri
Lexington,Kentucky
Stockton,California
Pittsburgh,Pennsylvania
Saint Paul,Minnesota
Anchorage,Alaska
Cincinnati,Ohio
Henderson,Nevada
Greensboro,North Carolina
Plano,Texas
Newark,New Jersey
Toledo,Ohio
Lincoln,Nebraska
Orlando,Florida
Chula Vista,California
Jersey City,New Jersey
Chandler,Arizona
Fort Wayne,Indiana
Buffalo,New York
Durham,North Carolina
St. Petersburg,Florida
Irvine,California
Laredo,Texas
Lubbock,Texas
Madison,Wisconsin
Gilbert,Arizona
Norfolk,Virginia
Reno,Nevada
Winston-Salem,North Carolina
Glendale,Arizona
Hialeah,Florida
Garland,Texas
Scottsdale,Arizona
Irving,Texas
Chesapeake,Virginia
North Las Vegas,Nevada
Fremont,California
Baton Rouge,Louisiana
Richmond,Virginia
Boise,Idaho
San Bernardino,California
